시군구별 계약종별별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2019,서울특별시,마포구,일반용,"125,508,532","114,339,903","99,580,360","96,350,402","93,789,251","101,627,373","115,015,340","129,192,715","114,834,746","98,880,417","93,947,859","110,602,167",
2019,서울특별시,마포구,교육용,"6,666,590","5,762,593","5,121,289","4,788,400","4,173,765","4,595,164","5,161,308","5,019,586","5,034,798","4,237,857","4,595,358","6,405,200",
2019,서울특별시,마포구,산업용,"15,368,350","16,568,639","13,951,292","14,280,224","16,191,993","18,648,646","20,318,679","21,066,458","18,906,786","16,814,288","12,589,441","13,906,494",
2019,서울특별시,마포구,농사용,"10,922","10,041","8,238","8,296","7,621","8,695","8,605","10,230","9,368","9,155","8,864","8,765",
2019,서울특별시,마포구,가로등,"1,427,222","1,328,205","1,188,485","1,155,085","1,037,747","990,216","958,187","1,018,389","1,093,127","1,167,925","1,273,656","1,311,583",
2019,서울특별시,마포구,심 야,"1,174,669","940,407","624,525","869,534","664,504","1,082,087","2,094,790","2,589,234","1,765,761","871,793","741,042","1,020,645",
2019,서울특별시,마포구,합 계,"201,820,423","188,732,890","163,412,550","162,296,120","157,505,737","171,493,118","193,475,268","226,106,416","197,855,246","166,205,188","157,675,072","180,549,193",
2019,서울특별시,강서구,주택용,"70,421,416","68,729,671","60,652,331","63,425,381","58,999,584","60,979,254","66,902,801","89,952,304","79,070,565","62,158,560","61,479,355","64,667,645",
2019,서울특별시,강서구,일반용,"134,240,256","121,838,054","103,849,372","101,819,457","96,595,656","106,012,071","121,314,051","137,492,825","121,014,689","102,256,159","98,381,254","117,379,675",
2019,서울특별시,강서구,교육용,"5,330,641","4,900,901","3,861,989","4,012,346","2,717,038","3,049,749","3,822,304","3,532,709","4,031,512","2,967,600","3,150,574","5,353,415",
2019,서울특별시,강서구,산업용,"25,984,077","23,823,068","24,375,971","24,367,090","23,749,284","23,599,459","25,585,206","26,497,761","25,211,493","25,247,325","25,854,169","28,309,693",
2019,서울특별시,강서구,농사용,"403,261","381,008","417,497","418,202","476,100","506,544","576,746","608,419","577,117","500,261","548,462","398,595",
2019,서울특별시,강서구,가로등,"1,638,555","1,552,543","1,395,877","1,383,157","1,292,208","1,219,533","1,160,381","1,235,758","1,320,557","1,418,494","1,519,610","1,587,139",
2019,서울특별시,강서구,심 야,"1,042,014","948,519","885,537","913,112","1,357,255","1,582,628","2,200,722","2,535,541","1,953,685","1,371,838","1,006,117","939,017",
2019,서울특별시,강서구,합 계,"239,060,220","222,173,764","195,438,574","196,338,745","185,187,125","196,949,238","221,562,211","261,855,317","233,179,618","195,920,237","191,939,541","218,635,179",
2019,서울특별시,구로구,주택용,"52,098,443","50,615,575","44,326,621","46,440,755","43,177,690","43,995,288","48,466,998","64,502,448","56,564,018","44,829,820","45,442,904","48,213,759",
