시군구별 용도업종별 전력사용량,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(단위 : kWh),
연도,시도,시군구,업종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,
2017,서울특별시,용산구,목재. 나무,"4,783","4,372","4,067","2,895","2,270","2,186","3,593","3,856","3,228","2,525","3,737","6,244",
2017,서울특별시,용산구,펄프. 종이,"37,208","40,374","32,285","24,649","17,660","18,759","23,196","26,925","22,083","17,309","18,996","31,393",
2017,서울특별시,용산구,출판. 인쇄,"421,513","437,286","407,652","349,857","290,441","307,226","333,258","380,066","411,102","282,619","312,633","405,527",
2017,서울특별시,용산구,화학  제품,"15,054","15,468","14,570","12,773","11,725","9,220","8,851","10,606","8,270","7,474","8,896","11,817",
2017,서울특별시,용산구,고무. 플라,"51,692","51,686","45,041","37,200","32,056","38,706","44,891","38,794","38,482","28,354","38,318","45,989",
2017,서울특별시,용산구,유      리,374,458,498,228,604,317,446,469,576,221,633,681,
2017,서울특별시,용산구,시  멘  트,314,504,616,"1,390",919,"1,077",868,"1,208","1,056",856,792,"1,403",
2017,서울특별시,용산구,1차   금속,"7,171","8,122","7,501","4,499","2,594","8,183","2,605","3,260","2,687","2,618","2,601","5,675",
2017,서울특별시,용산구,조립  금속,"44,056","43,017","37,065","31,452","33,644","28,783","30,981","34,312","31,995","25,010","34,175","48,106",
2017,서울특별시,용산구,기타  기계,"38,233","36,668","33,267","33,302","24,947","25,864","28,664","32,097","30,769","24,064","25,720","38,584",
2017,서울특별시,용산구,사무  기기,"11,877","11,027","7,463","5,493","3,141","3,832","5,779","7,371","2,424","1,794","4,289","8,661",
2017,서울특별시,용산구,전기  기기,"44,815","40,866","36,746","36,625","34,076","37,064","39,497","37,718","35,719","36,375","2,850","4,750",
2017,서울특별시,용산구,영상. 음향,"29,147","28,385","21,972","19,704","15,534","16,899","21,871","23,106","19,050","14,300","15,516","23,911",
2017,서울특별시,용산구,의료. 광학,"55,981","55,467","45,641","37,893","26,835","22,970","39,344","45,789","33,236","22,963","32,750","53,513",
2017,서울특별시,용산구,자  동  차,"5,898","7,663","5,394","3,884","3,208","4,937","6,653","7,774","5,783","3,484","4,040","8,553",
2017,서울특별시,용산구,기타  운송,"9,987","9,491","8,974","10,854","8,774","9,464","9,232","7,794","7,821","10,072","6,701","10,505",
2017,서울특별시,용산구,가구및기타,"26,927","27,082","24,021","21,699","16,013","16,360","18,751","27,556","29,483","21,693","23,353","33,144",
2017,서울특별시,용산구,재생  재료,"6,512","6,586","5,936","6,679","6,657","7,035","6,965","7,272","7,211","7,011","7,162","7,226",
2017,서울특별시,용산구,수      도,"522,443","523,780","486,942","515,148","501,170","516,086","520,452","539,626","512,454","494,194","514,789","522,882",
2017,서울특별시,용산구,사업자  용,"38,409","36,047","28,105","30,856","31,419","40,654","56,148","65,763","39,971","34,846","37,036","43,768",
2017,서울특별시,용산구,전      철,"455,068","438,435","512,149","477,233","520,026","586,440","684,559","705,782","646,309","523,975","493,247","476,244",
2017,서울특별시,용산구,가정용부문,"33,492,701","34,011,810","29,190,457","29,869,644","27,919,097","29,697,727","36,435,592","43,974,991","33,734,437","28,429,866","29,591,400","32,502,239",
2017,서울특별시,용산구,국  군  용,"2,031,183","2,146,883","1,840,489","1,706,640","1,621,131","1,960,233","2,258,988","2,684,378","2,217,034","1,803,147","1,715,922","1,815,402",
2017,서울특별시,용산구,유엔군  용,"8,489,167","9,054,573","7,582,689","7,232,758","7,085,247","8,376,802","9,701,378","10,830,288","9,113,045","7,365,509","7,108,869","9,862,825",
2017,서울특별시,용산구,기타공공용,"4,427,663","4,475,100","3,952,528","3,639,666","3,008,036","3,662,895","4,300,042","4,164,241","4,203,558","3,251,514","3,580,735","5,004,664",
2017,서울특별시,용산구,관  공  용,"13,706,266","13,410,153","11,756,394","10,932,252","11,117,948","12,368,424","15,417,126","16,646,698","14,361,813","11,993,639","11,852,527","13,760,449",
2017,서울특별시,용산구,순수써비스,"57,081,844","57,808,961","49,156,822","43,941,712","42,140,161","48,826,310","59,407,248","65,835,835","55,789,347","45,094,042","49,263,451","59,885,442",
2017,서울특별시,용산구,합 계,"122,249,808","124,094,136","106,620,506","100,317,816","95,709,916","107,908,340","130,704,851","147,464,474","122,759,932","100,558,379","105,837,141","125,743,836",
2017,서울특별시,성동구,농업. 임업,"2,555","2,316","1,810","1,736","4,506","5,431","6,495","7,284","7,097","4,952","6,122","4,588",
2017,서울특별시,성동구,석탄. 원유,-,-,-,-,-,"69,293",-,-,-,-,-,-,
2017,서울특별시,성동구,금속비금속,"23,886","20,314","14,775","17,788","18,493","21,151","21,678","22,859","19,180","15,746","25,945","27,674",
2017,서울특별시,성동구,식료품제조,"3,284,213","3,203,955","2,729,375","3,264,226","3,298,346","3,645,189","4,010,789","4,411,101","4,150,081","3,665,064","3,417,718","3,143,364",
2017,서울특별시,성동구,음료품제조,"81,559","81,101","73,192","78,265","76,482","85,348","90,770","100,331","90,357","77,341","85,206","82,022",
2017,서울특별시,성동구,섬      유,"1,455,907","1,531,553","1,346,587","1,225,334","959,732","1,058,660","1,103,320","1,116,249","1,070,734","811,663","964,749","1,265,536",
2017,서울특별시,성동구,의복. 모피,"2,422,532","2,627,789","2,529,054","2,338,835","2,003,481","2,207,255","2,445,185","2,591,164","2,402,437","1,811,323","2,024,010","2,490,838",
