,연도,시도,시군구,계약종별,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1152,2017,충청남도,서천군,합 계,119996554,117180392,119234712,109944965,82889123,79203134,77506770,76967257,75833319,74684591,97947510,110606198
1153,2017,충청남도,청양군,주택용,3512982,3668114,3094436,3251006,2996472,2977577,3070919,3593476,3163748,3066531,3189174,3470212
1154,2017,충청남도,청양군,일반용,5361040,5509927,4387817,4115965,3394798,3396442,3818230,4403385,4268891,3305495,3862265,4922854
1155,2017,충청남도,청양군,교육용,687703,704041,611739,547343,317165,309932,379772,385409,359275,285507,394654,710931
1156,2017,충청남도,청양군,산업용,9792618,9474026,9475437,9305280,8996713,9191809,10042228,9880478,9746064,8294946,9656821,9901301
1157,2017,충청남도,청양군,농사용,5144029,5878352,5427757,4490766,4269668,5229038,5100755,6910799,7136989,5217698,9443414,5366723
1158,2017,충청남도,청양군,가로등,646691,752081,741672,743212,704665,694268,663590,692274,677661,720513,727396,732966
1159,2017,충청남도,청양군,심 야,5436117,6108181,4694402,3669229,2051684,1207948,775653,615304,740908,1339803,2670050,4771818
1160,2017,충청남도,청양군,합 계,30581180,32094722,28433260,26122801,22731165,23007014,23851147,26481125,26093536,22230493,29943774,29876805
1161,2017,충청남도,홍성군,주택용,12471052,12932116,11015014,11631369,10801173,10838893,11766635,14868124,12173964,10916181,11615060,12303396
1162,2017,충청남도,홍성군,일반용,18640637,19015801,16292620,15231875,13528533,14372008,16789180,19071682,16418169,14060159,15185956,18610415
1163,2017,충청남도,홍성군,교육용,2364868,2241905,2240469,2182848,1413270,1507092,1613752,1521176,1556800,1309279,1756622,2855686
1164,2017,충청남도,홍성군,산업용,21854250,21068440,21654582,21162777,19750967,20500985,20457949,20688062,21326159,18580182,22107239,22551654
1165,2017,충청남도,홍성군,농사용,16647325,17287848,15029882,12856874,11344251,11712346,12407422,16991423,14595041,12182853,25922733,16229425
1166,2017,충청남도,홍성군,가로등,736294,720073,650742,665264,625053,616091,599637,639366,698132,739033,798407,814255
1167,2017,충청남도,홍성군,심 야,12151283,13487858,10190340,8275804,4588190,2598705,1610931,1280393,1492897,2653993,5824212,10473622
1168,2017,충청남도,홍성군,합 계,84865709,86754041,77073649,72006811,62051437,62146120,65245506,75060226,68261162,60441680,83210229,83838453
1169,2017,충청남도,예산군,주택용,9324391,9695344,8204703,8524089,7905513,7843097,8290807,10181952,8708165,8011885,8546025,9443072
1170,2017,충청남도,예산군,일반용,16441934,17097836,14211813,13142414,11416349,11716875,13415092,15548732,13135440,11307032,12350509,15787729
1171,2017,충청남도,예산군,교육용,284254,1275026,1206716,1096667,695649,714611,896231,896375,878006,689934,930809,1528019
1172,2017,충청남도,예산군,산업용,50380199,50424910,53021956,49762191,46448514,48841312,49470380,48628764,52432451,45021744,54224503,54248839
1173,2017,충청남도,예산군,농사용,11485921,12780560,10906228,9552858,9303464,10030848,9781713,12087914,10482044,8768016,14507609,10460217
1174,2017,충청남도,예산군,가로등,868370,805659,755799,727134,680051,644314,641060,674846,710772,784951,851837,877265
1175,2017,충청남도,예산군,심 야,13714193,15458760,11834718,9122454,4920446,2910331,2102172,1763359,1825224,2989176,6477811,11712332
1176,2017,충청남도,예산군,합 계,102499262,107538095,100141933,91927807,81369986,82701388,84597455,89781942,88172102,77572738,97889103,104057473
1177,2017,충청남도,당진시,주택용,20593810,21005051,18193900,18804539,17557542,17670719,20182475,24399820,20108863,17965660,19232319,20767594
1178,2017,충청남도,당진시,일반용,31205118,32573689,27601540,25886787,22497120,23845000,26871250,30643664,26782716,22643713,24155832,29798155
1179,2017,충청남도,당진시,교육용,2370756,2451475,2355854,1897108,1299399,1404703,1674484,1524204,1656514,1311860,1958284,3277950
1180,2017,충청남도,당진시,산업용,924021583,866690106,947007153,914191818,954681395,932575129,969128382,945884856,919101344,866394444,915105767,893192943
1181,2017,충청남도,당진시,농사용,10702245,11739265,10709257,10951854,16524932,17975049,12532565,14951562,13476686,11010550,17831735,11796748
1182,2017,충청남도,당진시,가로등,1275807,1209841,1076161,1055571,953845,906206,895324,950191,1041631,1119487,1236036,1309833
1183,2017,충청남도,당진시,심 야,19605571,22219159,16872018,13135954,7269813,4280870,2765121,2288522,2797749,4448224,9572572,16907107
1184,2017,충청남도,당진시,합 계,1009774890,957888586,1023815883,985923631,1020784046,998657676,1034049601,1020642819,984965503,924893938,989092545,977050330
1185,2017,충청남도,태안군,주택용,6862660,7066845,6043180,6368910,6030805,5967365,6262608,7980086,6900649,6118729,6349587,6771992
1186,2017,충청남도,태안군,일반용,17867127,18371692,16128503,15919559,14549240,13809531,15057697,19844524,16641610,14462507,14455138,16989246
1187,2017,충청남도,태안군,교육용,849694,802590,850643,831028,530182,529622,660073,692889,698342,472600,603791,1044129
1188,2017,충청남도,태안군,산업용,32393589,36262023,27556495,16082426,24692680,16133843,18502587,10665783,15462186,25564740,15290827,23822807
