년월,계약종별,전력사용량,평균기온(°C),평균현지기압(hPa),평균상대습도(%),평균풍속(m/s),일조율(%),월합강수량(00~24h만)(mm)
2020-05,심 야,169981877,17.644444444444446,999.2444444444445,72.0,1.5444444444444445,47.367777777777775,92.66666666666667
2020-05,일반용,872976152,17.644444444444446,999.2444444444445,72.0,1.5444444444444445,47.367777777777775,92.66666666666667
2020-05,주택용,616818890,17.644444444444446,999.2444444444445,72.0,1.5444444444444445,47.367777777777775,92.66666666666667
2020-05,합 계,6932855699,17.644444444444446,999.2444444444445,72.0,1.5444444444444445,47.367777777777775,92.66666666666667
2020-06,가로등,35021605,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,교육용,75687723,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,농사용,250823689,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,산업용,5133753079,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,심 야,93538485,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,일반용,967297365,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,주택용,632756588,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-06,합 계,7188878534,22.833333333333332,995.4222222222221,75.88888888888889,1.4,43.47666666666667,157.35555555555555
2020-07,가로등,33930130,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,교육용,89169007,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,농사용,239401169,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,산업용,5423521148,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,심 야,63854311,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,일반용,1037963334,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,주택용,654948989,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-07,합 계,7542788088,23.01111111111111,995.811111111111,84.44444444444444,1.2888888888888888,21.76111111111111,433.56666666666666
2020-08,가로등,34855094,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,교육용,89624558,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,농사용,294785045,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,산업용,5432183341,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,심 야,68491322,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,일반용,1131622153,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,주택용,762277718,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-08,합 계,7813839231,26.4,998.0333333333333,85.77777777777777,1.5333333333333332,29.988888888888887,440.6
2020-09,가로등,37018932,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,교육용,88705047,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,농사용,318895363,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,산업용,5370917738,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,심 야,60092899,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,일반용,1114609077,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,주택용,865516551,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-09,합 계,7855755607,20.08888888888889,1001.0777777777779,80.33333333333333,1.3777777777777778,44.647777777777776,178.73333333333332
2020-10,가로등,40048942,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,교육용,69468547,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,농사용,225787771,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,산업용,4854216807,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,심 야,95367873,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,일반용,901319423,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,주택용,620245969,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-10,합 계,6806455332,12.88888888888889,1009.5777777777779,71.77777777777777,1.0666666666666667,60.38111111111112,8.955555555555556
2020-11,가로등,42368594,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,교육용,92692299,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,농사용,348202606,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,산업용,5017508410,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,심 야,209887705,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,일반용,909270098,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,주택용,649714097,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-11,합 계,7269643809,7.588888888888889,1013.6444444444444,70.22222222222223,1.2111111111111112,55.75666666666667,41.13333333333333
2020-12,가로등,43152504,-0.5777777777777778,1014.9666666666667,67.33333333333333,1.2222222222222223,58.006666666666675,6.855555555555556
2020-12,교육용,130616759,-0.5777777777777778,1014.9666666666667,67.33333333333333,1.2222222222222223,58.006666666666675,6.855555555555556
2020-12,농사용,288081101,-0.5777777777777778,1014.9666666666667,67.33333333333333,1.2222222222222223,58.006666666666675,6.855555555555556
